,City,Location,lon,lat
226,"Van Nuys, CA","(34.1866581, -118.448729)",34.1866581,-118.448729
227,"Walnut, CA","(34.0202894, -117.8653386)",34.0202894,-117.8653386
228,"Compton, CA","(33.894927, -118.226624)",33.894927,-118.226624
229,"Hollywood, CA","(34.1028268, -118.3299899)",34.1028268,-118.3299899
230,"Lynwood, CA","(33.9303225, -118.2114933)",33.9303225,-118.2114933
231,"Ballston, VA","(38.8831218, -77.1100937)",38.8831218,-77.1100937
232,"Crystal City, VA","(38.8579043, -77.0502898)",38.8579043,-77.0502898
233,"University Park, IL","(41.4400344, -87.683377)",41.4400344,-87.683377
234,"Broadview, IL","(41.8639201, -87.8533931)",41.8639201,-87.8533931
235,"Beverly, MA","(42.5584284, -70.8800491)",42.5584284,-70.8800491
236,"Niskayuna, NY","(42.7797995, -73.8456775)",42.7797995,-73.8456775
237,"Cortland, NY","(42.5842136, -76.0704906)",42.5842136,-76.0704906
238,"Ithaca, NY","(42.4396039, -76.4968019)",42.4396039,-76.4968019
239,"Tarrytown, NY","(41.0762077, -73.8587461)",41.0762077,-73.8587461
240,"Bronx, NY","(40.85703325, -73.8366961598775)",40.85703325,-73.8366961598775
241,"Cedar Park, TX","(30.5217116, -97.827833)",30.5217116,-97.827833
242,"Emeryville, CA","(37.8314089, -122.2865266)",37.8314089,-122.2865266
243,"Burlingame, CA","(37.5841026, -122.3660825)",37.5841026,-122.3660825
244,"Cypress, CA","(33.8248235, -118.0399368)",33.8248235,-118.0399368
245,"Canoga Park, CA","(34.2010776, -118.5978259)",34.2010776,-118.5978259
246,"Manhattan Beach, CA","(33.895497, -118.400345)",33.895497,-118.400345
247,"Fort Meade, MD","(39.10517, -76.7476152974745)",39.10517,-76.7476152974745
248,"Upper Marlboro, MD","(38.8165274, -76.7519753)",38.8165274,-76.7519753
249,"Chevy Chase, MD","(38.9932072, -77.0743833)",38.9932072,-77.0743833
250,"Bristow, VA","(38.7233263, -77.5365669)",38.7233263,-77.5365669
251,"Berwyn, IL","(41.8505874, -87.7936685)",41.8505874,-87.7936685
252,"Skokie, IL","(42.0333694, -87.7333972)",42.0333694,-87.7333972
253,"Brighton, CO","(39.9852617, -104.8205283)",39.9852617,-104.8205283
254,"Chelsea, MA","(42.3917638, -71.0328284)",42.3917638,-71.0328284
255,"Danvers, MA","(42.5750946, -70.9300507)",42.5750946,-70.9300507
256,"Westford, MA","(42.5792583, -71.4378411)",42.5792583,-71.4378411
257,"Concord, MA","(42.4605189, -71.3488963)",42.4605189,-71.3488963
258,"Greenlawn, NY","(40.8689871, -73.3651185)",40.8689871,-73.3651185
259,"Melville, NY","(40.7934322, -73.4151214)",40.7934322,-73.4151214
260,"Yonkers, NY","(40.9312099, -73.8987469)",40.9312099,-73.8987469
261,"Valley Stream, NY","(40.6642699, -73.7084645)",40.6642699,-73.7084645
262,"Queens, NY","(40.6524927, -73.7914214158161)",40.6524927,-73.7914214158161
263,"Brentwood, NY","(40.7812093, -73.2462273)",40.7812093,-73.2462273
264,"Port Washington, NY","(40.8256561, -73.6981858)",40.8256561,-73.6981858
265,"Islandia, NY","(40.8042649, -73.1690019)",40.8042649,-73.1690019
266,"Hicksville, NY","(40.7684331, -73.5251253)",40.7684331,-73.5251253
267,"Milwaukie, OR","(45.4453901, -122.6392889)",45.4453901,-122.6392889
268,"Largo, MD","(38.8824538, -76.8285745650011)",38.8824538,-76.8285745650011
269,"Jefferson County, CO","(39.5699803, -105.2561919)",39.5699803,-105.2561919
270,"Peabody, MA","(42.5278731, -70.9286609)",42.5278731,-70.9286609
271,"Hunters Creek Village, TX","(29.7705062, -95.4954973)",29.7705062,-95.4954973
272,"El Monte, CA","(34.0751571, -118.036849)",34.0751571,-118.036849
273,"Webster, NY","(43.212285, -77.429994)",43.212285,-77.429994
274,"Elmira, NY","(42.0897965, -76.8077338)",42.0897965,-76.8077338
275,"Menlo Park, CA","(37.4538274, -122.1821871)",37.4538274,-122.1821871
276,"Belmont, CA","(37.5202145, -122.2758008)",37.5202145,-122.2758008
277,"Daly City, CA","(37.7057671, -122.4619205)",37.7057671,-122.4619205
278,"Arcadia, CA","(34.1362075, -118.0401497)",34.1362075,-118.0401497
279,"Carson, CA","(33.8322043, -118.2517547)",33.8322043,-118.2517547
280,"Bothell, WA","(47.759853, -122.2068217)",47.759853,-122.2068217
281,"Beltsville, MD","(39.0299081, -76.9149547)",39.0299081,-76.9149547
282,"Abbott Park, IL","(42.2914372, -87.896473)",42.2914372,-87.896473
283,"Newton Center, MA","(42.3306528, -71.1994989)",42.3306528,-71.1994989
284,"Medford, MA","(42.4184296, -71.1061639)",42.4184296,-71.1061639
285,"Syosset, NY","(40.8262101, -73.502068)",40.8262101,-73.502068
286,"Poughkeepsie, NY","(41.7065779, -73.9284101)",41.7065779,-73.9284101
287,"Northeast, NY","(41.9167594, -73.5662363)",41.9167594,-73.5662363
288,"Alden, NY","(42.9000596, -78.4919671)",42.9000596,-78.4919671
289,"Deer Park, NY","(40.7617653, -73.3292858)",40.7617653,-73.3292858
290,"Amherst, NY","(42.9783924, -78.7997616)",42.9783924,-78.7997616
291,"Woodside, NY","(42.5217281, -78.7650292)",42.5217281,-78.7650292
292,"Clifton Park, NY","(42.8656325, -73.7709535)",42.8656325,-73.7709535
293,"Long Island City, NY","(40.7455316, -73.9484995)",40.7455316,-73.9484995
294,"Niagara Falls, NY","(43.1030928, -79.0302618)",43.1030928,-79.0302618
295,"Stony Brook, NY","(40.9256538, -73.140943)",40.9256538,-73.140943
296,"Ross, CA","(37.9624239, -122.5549775)",37.9624239,-122.5549775
297,"Irwindale, CA","(34.1069527, -117.9353413)",34.1069527,-117.9353413
298,"Redondo Beach, CA","(33.8455911, -118.3886766)",33.8455911,-118.3886766
299,"Ashburn, VA","(39.0437192, -77.4874899)",39.0437192,-77.4874899
300,"Burr Ridge, IL","(41.7489203, -87.9183919)",41.7489203,-87.9183919
301,"Lynnfield, MA","(42.5389836, -71.0481084)",42.5389836,-71.0481084
302,"Everett, MA","(42.40843, -71.0536625)",42.40843,-71.0536625
303,"Whitestone, NY","(40.7945457, -73.8184674)",40.7945457,-73.8184674
304,"Utica, NY","(43.1009031, -75.2326641)",43.1009031,-75.2326641
305,"New Hartford, NY","(43.073653, -75.287933)",43.073653,-75.287933
306,"Holtsville, NY","(40.8153762, -73.0451085)",40.8153762,-73.0451085
307,"Suffern, NY","(41.1151372, -74.1493948)",41.1151372,-74.1493948
308,"San Mateo County, CA","(37.496904, -122.3330573)",37.496904,-122.3330573
309,"Waldorf, MD","(38.6263882, -76.9106581)",38.6263882,-76.9106581
310,"Arlington Heights, IL","(42.0812678, -87.9800662)",42.0812678,-87.9800662
311,"McCook, IL","(40.201542, -100.625654)",40.201542,-100.625654
